GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryFileManager.new SimpleJavaFileObject() {...},16,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main,588,0,53,0,134,0,37,0,10,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryFileManager,39,0,4,0,8,0,5,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.Context,27,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MainClassListener,24,0,6,0,8,0,5,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader.new Enumeration() {...},38,0,4,0,8,0,5,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.Fault,9,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryFileManager.1.new ByteArrayOutputStream() {...},20,0,0,0,4,0,2,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.new SimpleJavaFileObject() {...},35,0,4,0,6,0,7,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader.MemoryURLConnection,43,0,4,0,13,0,7,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader.MemoryURLStreamHandler,34,0,2,0,4,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.launcher,Main.MemoryClassLoader,212,0,22,0,48,0,20,0,9,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Profile.new Profile() {...},2,5,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.Item,17,88,0,8,4,22,4,11,4,7
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.ProxyType,32,0,0,0,8,0,5,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.AttributeWriter,11,191,1,12,2,41,2,15,1,6
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.new Items.Item() {...},2,8,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.TypeAnnotationCompleter,73,0,2,0,17,0,4,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,JNIWriter.SimpleTypeVisitor,75,0,0,0,19,0,15,0,15,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.State,193,465,39,47,41,90,30,30,3,13
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},87,10,10,0,19,1,6,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},0,28,0,2,0,6,0,3,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},7,10,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},0,53,1,5,0,10,1,4,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},54,96,5,11,5,20,5,8,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},8,23,1,1,1,4,1,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},0,46,1,3,0,8,1,3,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},3,24,1,1,0,4,1,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,PoolConstant.LoadableConstant,0,34,0,0,0,5,0,5,0,5
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new Type.ClassType() {...},34,35,3,3,9,9,3,3,1,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.IndexedItem,14,52,0,0,4,11,3,5,3,5
JaCoCo Coverage Report,com.sun.tools.javac.jvm,JNIWriter,994,57,166,2,248,16,123,4,25,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,CRTable.CRTEntry,15,0,0,0,6,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.EnumAttributeProxy,6,15,0,0,1,5,1,2,1,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.AttributeKind,0,15,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter,976,2926,141,298,170,613,109,173,8,41
JaCoCo Coverage Report,com.sun.tools.javac.jvm,JNIWriter.TypeSignature,81,0,2,0,18,0,6,0,5,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.PoolOverflow,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,PoolConstant,0,2,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Gen,509,5590,100,554,78,1152,95,334,3,93
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.Mneumonics,816,0,0,0,205,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.ArrayAttributeProxy,4,12,0,0,1,4,1,2,1,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.StackMapTableFrame.FullFrame,25,77,4,8,2,19,4,5,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.UsesProvidesCompleter,126,15,6,0,23,5,4,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Gen.GenContext,0,32,0,0,0,10,0,3,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ModuleNameReader,218,0,16,0,48,0,17,0,9,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,StringConcat.IndyConstants,32,269,5,21,6,54,5,11,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,PoolConstant.Dynamic.BsmKey,1,57,3,3,0,13,3,4,0,4
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.AssignItem,18,31,0,0,6,9,4,3,4,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,JNIWriter.TypeSignature.JvmTypeVisitor,95,0,14,0,28,0,17,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ModuleNameReader.BadClassFile,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Gen.CodeSizeOverflow,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.StackMapFormat.new Code.StackMapFormat() {...},0,8,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.StackMapFormat.new Code.StackMapFormat() {...},3,5,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.LocalVar.Range,41,26,2,2,8,6,5,2,3,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassFile,0,79,0,8,0,15,0,9,0,5
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.SourceFileObject,85,6,6,0,20,3,18,1,15,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.StackMapTableFrame.SameLocals1StackItemFrame,8,43,2,6,2,14,2,5,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.InterimUsesDirective,0,6,0,0,0,3,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.LocalVar,99,109,15,15,17,28,14,12,3,8
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.SelfItem,7,23,2,0,1,6,2,2,1,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ByteCodes,44,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.StaticItem,4,64,0,0,1,12,1,4,1,4
JaCoCo Coverage Report,com.sun.tools.javac.jvm,JNIWriter.TypeSignature.SignatureException,4,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.StackMapTableFrame.ChopFrame,5,24,1,1,1,9,1,3,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,StringConcat.Indy,0,126,1,9,0,26,1,8,0,4
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Gen.GenFinalizer,0,9,0,0,0,3,0,3,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,StringConcat.Inline,230,0,12,0,42,0,12,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.StringOverflow,0,6,0,0,0,3,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,PoolWriter.WriteablePoolHelper,28,421,2,28,6,93,2,24,0,4
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.CondItem,80,136,2,14,16,25,7,14,5,8
JaCoCo Coverage Report,com.sun.tools.javac.jvm,StringConcat,35,166,13,13,8,39,11,11,0,8
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader,1801,3067,243,263,347,525,185,165,17,53
JaCoCo Coverage Report,com.sun.tools.javac.jvm,PoolReader,112,330,6,19,17,76,9,30,4,16
JaCoCo Coverage Report,com.sun.tools.javac.jvm,CRTable,223,0,32,0,50,0,22,0,6,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code,756,3192,152,375,156,756,134,266,5,82
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.Chain,0,12,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Code.StackMapFrame,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.TypeAnnotationProxy,9,0,0,0,4,0,1,0,1,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.MemberItem,19,113,2,6,4,21,4,9,3,6
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.AnnotationDeproxy,126,293,13,15,26,60,15,15,5,11
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.InterimProvidesDirective,0,9,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,PoolConstant.NameAndType,0,23,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Items.StackItem,8,55,1,5,1,12,2,8,1,6
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassWriter.StackMapTableFrame,23,221,9,49,4,41,7,28,0,6
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.AnnotationCompleter,19,124,4,14,3,23,5,7,1,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,StringConcat.IndyPlain,206,0,18,0,39,0,12,0,3,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Gen.ClassReferenceVisitor,13,65,1,3,4,17,2,9,1,8
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.AttributeReader,70,29,10,2,7,8,6,2,0,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.AnnotationDefaultCompleter,12,56,1,1,1,13,2,2,1,2
JaCoCo Coverage Report,com.sun.tools.javac.jvm,Profile,57,102,10,4,9,24,9,5,3,4
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.ParameterAnnotations,17,0,2,0,5,0,3,0,2,0
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},72,10,6,0,18,1,4,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},5,10,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},5,10,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},7,10,0,0,2,1,1,1,1,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},1,56,3,5,0,9,3,4,0,3
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},75,10,8,0,13,1,6,1,2,1
JaCoCo Coverage Report,com.sun.tools.javac.jvm,ClassReader.new ClassReader.AttributeReader() {...},1,45,4,4,0,6,4,3,0,3
